strainName1,strainName2,distance
104,145,1.997
104,159,3.959
105,135,0.196
105,80,0.404
105,145,0.92
105,162,1.124
105,102,1.439
106,109,1.292
106,102,1.904
107,157,0.22
107,156,0.677
107,103,1.601
107,100,3.463
108,150,0.101
108,156,0.268
108,106,0.276
108,151,0.283
108,162,0.595
108,109,0.617
108,153,1.043
108,107,1.141
108,102,1.304
108,74,1.325
108,101,1.405
108,0,1.41
108,103,1.557
108,102,1.668
108,154,1.825
108,158,2.032
108,100,2.213
108,105,2.228
108,24,2.907
109,108,0.456
109,162,0.513
109,101,0.626
109,150,0.792
109,162,1.22
109,153,1.326
109,151,1.5
109,102,1.611
109,153,1.619
109,151,1.708
109,102,1.846
109,136,1.94
109,154,2.208
109,101,2.242
109,103,2.479
109,154,2.708
109,24,3.022
109,132,5.36
110,129,1.86
110,121,1.941
110,120,1.977
110,93,3.158
111,129,0.207
111,26,2.006
111,122,2.036
111,110,2.213
111,120,2.402
111,121,2.826
114,116,0.025
114,113,0.318
114,123,0.406
114,82,0.457
114,115,0.508
114,127,1.049
114,122,1.43
114,129,2.03
114,93,2.139
114,111,2.385
114,121,2.562
114,120,2.745
115,82,-0.021
115,110,0.024
115,113,0.24
115,6,0.662
115,122,0.972
115,111,0.989
115,119,1.059
115,52,1.27
115,121,1.292
115,51,1.316
115,133,1.476
115,26,1.497
115,48,1.649
115,130,1.664
115,93,2.231
115,118,2.316
115,134,3.316
116,128,0.719
116,6,0.928
116,82,0.94
116,115,1.024
116,127,1.731
116,93,2.658
117,114,-0.062
117,82,0.303
117,115,0.416
117,113,0.44
117,6,0.692
117,129,1.745
117,122,1.795
117,93,1.909
117,111,2.18
117,120,2.624
119,121,-0.305
119,122,-0.288
120,26,0.769
120,51,1.477
120,129,1.917
121,33,0.441
121,120,0.551
121,51,1.148
121,70,2.894
121,43,3.941
122,118,-0.098
122,33,-0.013
122,120,0.104
122,121,0.182
122,26,0.429
122,51,0.533
122,52,0.936
122,45,0.987
122,110,0.987
122,129,1.405
122,128,1.788
122,5,2.266
123,127,-0.01
123,113,0.144
123,116,0.417
123,6,0.538
123,82,0.557
123,117,0.622
123,95,0.77
123,115,0.955
123,112,1.113
123,122,1.693
123,110,1.82
123,121,1.887
123,130,1.972
123,93,2.11
123,3,2.113
123,119,2.139
123,129,2.268
123,52,2.954
123,111,3.057
123,133,3.089
123,48,3.108
123,51,3.113
123,44,3.244
123,26,3.405
123,118,3.613
123,120,3.719
123,49,3.82
123,41,3.905
123,134,4.113
123,50,5.113
124,6,1.441
124,82,1.983
124,93,2.339
125,127,-0.637
125,6,0.286
125,82,0.567
125,93,1.317
126,123,0.432
126,84,1.196
126,127,1.226
126,6,1.285
126,95,1.503
126,82,1.523
126,112,1.84
126,93,3.225
127,115,0.036
127,141,0.203
127,112,0.524
127,6,0.537
127,82,0.697
127,81,0.816
127,124,0.901
127,85,1.816
128,117,0.157
128,113,0.219
128,82,0.257
128,115,0.515
128,127,0.743
128,114,0.789
128,95,0.863
128,123,1.188
128,110,1.219
128,6,1.238
128,119,1.462
128,129,1.495
128,121,1.565
128,111,1.733
128,122,1.788
128,93,1.982
128,52,2.099
128,26,2.143
128,51,2.219
128,133,2.439
128,48,2.476
128,118,2.512
128,44,2.601
128,130,2.642
128,120,2.643
128,49,3.427
128,2,4.219
130,122,2.207
130,118,2.801
130,121,2.915
130,48,2.981
130,52,3.068
130,93,3.416
130,44,3.443
130,50,3.801
130,49,4.008
130,41,4.093
132,161,0.36
132,160,0.733
132,161,0.802
132,131,3.041
132,152,3.199
132,152,3.28
132,103,3.309
132,156,3.817
132,104,4.005
132,100,4.06
132,155,4.652
132,106,4.733
132,107,4.969
132,157,5.36
132,108,5.392
132,102,5.395
132,101,5.686
132,109,5.991
133,122,0.299
133,121,0.863
133,120,0.932
133,111,3.201
134,122,1.402
134,133,1.481
134,121,1.487
134,128,3.427
134,6,3.74
134,123,4.113
135,86,0.166
135,105,0.196
135,143,0.322
135,101,0.562
135,146,0.728
135,73,1.292
135,145,1.746
135,83,1.85
135,144,2.259
136,104,-0.159
136,131,0.025
136,103,0.932
136,152,0.94
136,152,0.951
136,108,1.164
136,156,1.547
136,150,1.621
136,155,1.779
136,106,1.996
136,151,2.147
136,153,2.155
136,101,2.17
136,162,2.223
136,132,2.395
136,109,2.414
136,149,2.44
136,102,2.683
136,107,2.734
136,161,2.759
136,161,2.94
136,157,3.147
136,160,3.279
136,74,3.44
136,24,3.442
136,102,3.482
136,154,3.986
137,52,1.99
138,25,0.793
138,137,0.812
138,63,0.951
138,8,1.243
138,72,1.697
138,52,2.16
138,31,2.322
139,127,-0.569
139,125,0.165
139,75,0.306
139,6,0.516
139,78,0.776
139,82,1.309
139,93,2.537
140,58,0.294
140,62,0.68
140,138,0.945
140,7,1.526
140,25,1.581
140,52,2.371
140,5,2.515
140,31,2.537
140,9,2.604
140,4,3.013
140,20,3.249
140,18,3.343
140,17,3.703
140,68,4.144
141,82,0.76
141,95,1.113
141,124,1.292
141,93,1.883
143,105,0.002
143,73,0.315
143,144,0.326
143,101,0.373
143,145,0.471
143,146,0.615
143,80,0.891
143,0,1.098
143,83,1.265
143,102,1.294
143,153,1.424
143,102,1.633
143,150,1.683
143,162,1.792
143,108,2.139
143,24,2.705
143,151,2.73
143,1,2.864
143,104,3.349
143,103,3.37
144,143,0.326
144,83,0.362
144,145,0.402
144,1,1.177
144,87,2.261
145,98,0.67
145,151,2.746
145,162,2.758
146,145,-0.237
146,83,0.199
146,105,0.611
146,143,0.615
146,144,0.835
146,73,1.292
146,1,1.86
146,75,3.284
146,88,3.426
146,104,3.459
146,94,3.471
146,87,3.528
146,82,3.961
146,91,4.003
146,93,4.265
146,90,4.309
146,97,4.5
146,148,5.161
147,102,-0.596
147,150,0.5
147,158,0.5
147,153,0.665
147,108,1.825
148,90,-0.461
148,91,0.065
148,87,0.558
148,144,3.551
148,83,4.671
149,157,1
149,132,4.86
150,153,0.06
150,151,0.084
150,109,0.792
150,158,1
150,101,1.158
150,143,1.683
151,109,1.5
152,136,0.951
152,104,1.505
152,131,1.585
152,100,1.956
152,100,2
152,131,2.085
152,104,2.505
153,151,1.08
154,101,-0.466
154,102,0.95
154,102,1.111
154,156,1.359
155,107,0.22
155,106,0.5
155,100,2.5
156,155,-0.056
156,149,0.151
156,106,0.17
156,101,0.227
156,157,1.151
156,102,1.762
157,107,0.22
157,106,1
158,153,0.241
158,147,0.5
158,150,1
159,132,-0.225
159,132,-0.14
159,161,0.5
159,160,0.915
159,160,1.254
159,161,1.696
159,131,3.585
159,131,3.67
159,104,3.959
159,104,4.044
160,131,2.77
160,152,3.33
160,152,3.669
160,104,3.846
161,160,0.33
161,131,2.611
161,131,3.085
161,152,3.5
161,104,3.541
161,152,4.111
162,150,0.262
162,158,0.428
162,153,0.634
162,109,1.22
162,102,1.352
162,136,2.223
162,145,2.758
