,new_epitope_a,new_epitope_b,new_epitope_c,new_epitope_d,new_epitope_e,label
262,4,4,1,2,0,3.316
263,4,4,1,1,0,3.941
264,3,3,2,2,0,5.219
265,1,2,0,1,0,0.665
266,1,3,0,0,0,0.99
267,3,5,1,0,0,1.81
268,3,5,1,1,0,2.191
269,3,5,1,0,0,2.245
270,3,6,2,0,0,2.296
271,3,2,1,1,0,0.816
272,3,2,1,0,0,1.148
273,2,4,1,2,0,3.113
274,2,0,1,2,1,0.0
275,1,0,1,1,0,-1.0
276,0,0,1,1,0,-0.772
277,1,0,1,1,0,-0.504
278,2,0,1,2,1,0.339
279,2,0,1,2,1,1.0
280,0,0,1,1,0,-0.772
281,2,0,0,3,1,-0.772
282,0,0,0,3,0,-0.357
283,1,2,0,3,0,-0.272
284,1,0,0,2,0,-0.098
285,0,1,0,0,0,0.495
286,0,0,0,0,0,0.567
287,2,0,0,0,1,1.025
288,3,3,1,0,0,1.239
289,3,4,2,0,0,1.824
290,3,3,1,0,0,1.993
291,2,1,0,0,1,1.998
292,2,1,0,1,0,2.023
293,1,1,0,0,0,2.113
294,1,2,0,1,0,-0.292
295,0,1,0,0,0,-0.265
296,0,0,0,0,0,-0.085
297,1,2,0,1,0,0.132
298,3,3,1,0,0,2.906
299,2,3,5,5,1,3.365
300,1,2,0,1,0,-0.208
301,0,0,0,0,0,0.228
302,3,3,1,0,0,3.194
303,1,2,2,2,0,2.219
304,0,1,0,0,0,-0.213
305,0,1,0,0,1,0.394
306,2,1,1,2,2,0.793
307,3,5,2,0,0,0.894
308,2,0,1,1,1,1.254
309,2,7,1,3,4,1.394
310,2,2,2,5,2,1.394
311,3,4,1,0,0,1.495
312,2,4,1,1,4,1.687
313,2,2,1,2,2,1.894
314,2,2,0,0,1,1.99
315,2,2,0,1,0,2.394
316,0,2,0,2,1,-0.401
317,0,1,0,2,1,0.089
318,2,2,0,3,1,1.689
319,2,3,0,1,1,1.749
320,1,2,1,4,3,2.747
321,4,3,1,1,1,2.752
322,1,2,1,4,3,3.091
323,3,3,1,3,3,3.099
324,4,4,1,1,2,3.587
325,4,6,1,2,2,3.693
326,5,4,1,3,3,3.795
327,3,3,1,3,3,4.143
328,0,1,0,2,0,-0.529
329,3,5,0,5,5,0.779
330,3,6,0,2,2,1.051
331,4,6,0,2,2,1.697
332,3,4,0,2,2,0.867
333,4,4,0,2,2,1.586
334,0,1,0,3,0,1.872
335,0,6,0,2,0,1.907
336,0,1,0,2,0,2.13
337,3,4,0,4,5,2.249
338,1,4,1,2,4,2.516
339,0,5,1,5,2,2.859
340,2,5,1,4,4,2.87
341,3,5,0,5,5,3.027
342,0,6,0,3,0,0.654
343,0,6,0,2,0,1.654
344,0,6,0,1,0,1.927
345,3,4,0,1,2,2.054
346,0,6,1,1,0,2.154
347,0,8,2,2,0,2.493
348,0,7,2,2,0,2.61
349,0,8,1,2,0,2.612
350,0,2,0,0,0,2.738
351,4,4,0,1,2,2.739
352,1,6,1,1,2,2.759
353,0,7,0,1,0,2.767
354,0,2,0,0,0,2.861
355,0,8,1,2,0,2.877
356,0,7,2,2,0,3.037
357,0,8,1,2,0,3.154
358,1,7,2,2,0,3.361
359,3,5,0,2,5,3.421
360,3,4,0,1,5,3.494
361,1,7,3,2,0,3.765
362,2,5,1,1,4,3.818
363,1,7,1,3,0,3.822
364,1,4,1,1,4,3.966
365,0,2,0,1,2,0.941
366,3,3,0,0,2,0.643
367,4,3,0,0,2,1.193
368,2,4,1,2,4,2.364
369,3,6,0,3,5,2.777
370,2,2,1,2,3,3.067
371,1,1,1,0,3,3.572
372,3,3,0,2,4,3.606
373,3,2,0,2,3,3.643
374,3,2,1,3,2,3.737
375,1,1,1,0,2,2.449
376,3,3,1,3,3,3.099
377,3,2,1,3,2,3.245
378,3,3,0,2,3,3.425
379,3,2,0,2,2,0.987
380,1,1,1,0,2,1.288
381,2,2,1,2,2,1.894
382,0,0,0,0,0,0.551
383,1,3,0,0,0,0.691
384,3,3,0,1,2,1.051
385,3,5,0,0,2,1.055
386,2,5,1,0,2,1.766
387,3,6,1,2,2,2.085
388,0,0,0,0,0,0.551
389,1,3,1,0,0,2.23
390,2,4,0,3,3,2.279
391,3,6,0,1,0,3.441
392,0,2,0,1,2,0.941
393,1,1,1,2,2,1.394
394,2,3,1,3,2,1.613
395,4,4,0,1,0,2.497
396,1,2,1,1,2,2.56
397,4,4,0,1,0,3.317
398,3,4,0,3,3,3.922
399,3,5,0,3,3,4.157
400,0,0,0,0,0,0.111
401,1,1,1,2,2,1.614
402,2,3,1,3,2,1.772
403,1,2,1,1,2,2.787
404,2,3,0,1,0,2.5
405,1,3,1,2,2,2.745
406,1,0,1,0,2,1.298
407,2,1,2,3,1,1.235
408,1,1,3,2,1,1.72
409,1,1,1,1,1,2.106
410,1,2,2,2,1,2.447
411,1,2,1,2,1,2.786
412,0,0,0,1,1,3.474
413,1,6,1,2,1,3.654
414,1,6,1,2,1,4.144
415,0,4,1,3,2,1.235
416,3,6,1,3,0,1.259
417,2,2,2,5,2,1.394
418,4,3,1,3,0,1.945
419,1,1,2,3,2,2.157
420,3,5,1,5,3,3.633
421,2,1,0,1,2,1.082
422,2,2,0,1,2,1.553
423,4,2,1,1,2,1.885
424,2,1,0,3,2,2.561
425,4,3,1,1,3,2.912
426,4,5,1,1,3,3.087
427,3,2,1,3,2,3.245
428,5,3,1,3,2,3.745
429,2,0,0,1,2,-0.272
430,0,1,0,0,0,0.745
431,2,0,0,3,2,0.949
432,4,3,1,1,2,3.987
433,0,6,0,2,0,0.792
434,3,2,1,2,0,0.415
435,1,4,2,2,0,0.62
436,5,3,12,15,35,0.962
437,2,3,2,1,0,1.292
438,1,4,2,1,0,1.792
439,2,0,0,3,1,0.359
440,0,0,0,2,1,1.0
441,1,2,0,2,1,1.325
442,1,1,0,3,1,1.611
443,1,2,0,2,1,2.0
444,2,6,1,7,3,5.36
445,0,0,0,0,0,-0.132
446,0,2,1,0,0,-0.113
447,0,0,1,0,0,0.096
448,1,0,2,1,0,0.161
449,0,0,0,0,0,0.184
